8.899641224696953554e-03	2.573639873993815127e+04	1.629616987765909107e+04	-5.379975633549624035e+04
1.507912216506557788e-02	1.983546305156562448e+04	1.643377873202197952e+04	9.271568029241305339e+03
2.144790186456836667e-02	1.694855046444736581e+04	9.010667753853871545e+03	-1.752166282028136629e+04
2.783660776489276650e-02	1.405045367538393475e+04	1.708819226883978990e+04	6.889146225982450233e+03
3.435099785803411021e-02	1.201631959888247002e+04	1.602971301053999196e+04	7.030609758402159969e+03
4.047886761425745911e-02	8.215683415285604497e+03	9.659770356715745947e+03	4.376170354051536378e+03
4.676716683575679601e-02	7.023531189495687613e+03	7.037337691000828272e+03	3.408974409750891823e+02
5.308225101765951665e-02	6.495971226911426129e+03	5.323648798578594324e+03	-1.184273428362061168e+03
5.945362440940590160e-02	6.075005075218808088e+03	5.124947235024690599e+03	-8.243315307609215097e+02
6.576224814588792211e-02	5.493039606220068890e+03	5.539830617239553249e+03	1.074012266774069531e+03
7.196632906698736953e-02	5.131020276350661334e+03	5.011690180152833818e+03	5.838246048564775492e+02
7.827860915688347743e-02	4.233083367710889434e+03	3.278206346207626211e+03	2.264846365222333304e+02
8.470398945834539672e-02	3.878078092633579672e+03	3.744006592487945454e+03	3.301251268824867680e+02
9.096854620527369817e-02	3.218476243768507175e+03	2.638616065021221402e+03	5.648361891640391264e+01
9.720789776830213169e-02	2.810678545476181625e+03	2.879406384247529331e+03	3.220993724993473961e+02
1.034763038959366499e-01	2.502698355078675377e+03	2.215612304791110091e+03	5.693825498846064193e+02
1.097576444254559219e-01	2.359419641282248449e+03	2.282592116156812153e+03	4.324524272866362367e+02
1.160543084780093354e-01	2.081173394200731764e+03	1.897500720342545264e+03	-1.548003088718157372e+01
1.223669666537485351e-01	2.007367557324748077e+03	1.862700147340871126e+03	1.790501637727621471e+02
1.286817263090294094e-01	1.883773722771550865e+03	1.726286310296053443e+03	2.421166528480093518e+02
1.349500801664080818e-01	1.809060570024412527e+03	1.641962112746915636e+03	2.195397477055336424e+02
1.411949558842147678e-01	1.723390630984334621e+03	1.538448361833199442e+03	7.941397906310082533e+01
1.475133575747468451e-01	1.554460820359558738e+03	1.374090509207624336e+03	2.429237030827459591e+02
1.537865074252268427e-01	1.377133472636546230e+03	1.272355001057720756e+03	1.732684919165079975e+02
1.600657544051110326e-01	1.280131383793082250e+03	1.157193325864105191e+03	2.664376906108604430e+02
1.663991168687080635e-01	1.169178454294967423e+03	1.059951595877066438e+03	1.028489633162549524e+02
1.727195645776442856e-01	1.091946156487481858e+03	1.084482548622979039e+03	3.215982067233314297e+02
1.789765213377084718e-01	1.007002544717154819e+03	9.138880280171928234e+02	2.176894801073242718e+02
1.852353690647852158e-01	9.952080521083092890e+02	8.708097002853575077e+02	1.473449737884641877e+02
1.914806787341157279e-01	9.451717869567436310e+02	8.623488134168380839e+02	2.453025067928175815e+02
1.977889868651535599e-01	8.883595438626985015e+02	7.884185959119854488e+02	1.786831052306055767e+02
2.040937735447724277e-01	8.549308730143061439e+02	7.261057002052133384e+02	1.889204409175433739e+02
2.103939302609846018e-01	7.902041032677499288e+02	6.448364580692018535e+02	1.344669974582768361e+02
2.166909709822301688e-01	7.532567895414274517e+02	6.452114289053504308e+02	1.010213608988988057e+02
2.229700281216152047e-01	6.969823390305271005e+02	6.294637188894630526e+02	1.842448451586721205e+02
2.292620027086341994e-01	6.616460156116601183e+02	5.686061757832870853e+02	1.361703578646363439e+02
2.355141508366812297e-01	6.219561981748508970e+02	5.322247493965471676e+02	1.042992950158726444e+02
2.417910583817859116e-01	5.887182295688933209e+02	4.957665314029633237e+02	7.373196186893797233e+01
